product_id,website_name
P1000001,Amazon
P1000001,Walmart
P1000001,Target
P1000001,Ikea
P1000002,Costco
P1000002,Amazon
P1000002,Target
P1000002,Ikea
P1000003,Costco
P1000003,Amazon
P1000003,Walmart
P1000003,Target
P1000003,Ikea
P1000004,Costco
P1000004,Amazon
P1000004,Walmart
P1000004,Target
P1000004,Ikea
P1000005,Costco
P1000005,Amazon
P1000005,Walmart
P1000005,Target
P1000005,Ikea
P1000006,Costco
P1000006,Amazon
P1000006,Target
P1000006,Ikea
P1000007,Amazon
P1000007,Walmart
P1000007,Target
P1000007,Ikea
P1000008,Costco
P1000008,Amazon
P1000008,Walmart
P1000008,Target
P1000008,Ikea
P1000009,Costco
P1000009,Amazon
P1000009,Target
P1000009,Ikea
P1000010,Amazon
P1000010,Walmart
P1000010,Target
P1000010,Ikea
P1000011,Costco
P1000011,Amazon
P1000011,Walmart
P1000011,Ikea
P1000012,Costco
P1000012,Amazon
P1000012,Walmart
P1000012,Ikea
P1000013,Costco
P1000013,Amazon
P1000013,Walmart
P1000013,Target
P1000013,Ikea
P1000014,Costco
P1000014,Walmart
P1000014,Target
P1000014,Ikea
P1000015,Costco
P1000015,Amazon
P1000015,Walmart
P1000015,Target
P1000015,Ikea
P1000016,Costco
P1000016,Amazon
P1000016,Walmart
P1000016,Target
P1000016,Ikea
P1000017,Costco
P1000017,Amazon
P1000017,Target
P1000018,Costco
P1000018,Amazon
P1000018,Walmart
P1000018,Target
P1000018,Ikea
P1000019,Costco
P1000019,Amazon
P1000019,Walmart
P1000019,Target
P1000019,Ikea
P1000020,Costco
P1000020,Amazon
P1000020,Walmart
P1000020,Target
P1000020,Ikea
P1000021,Costco
P1000021,Amazon
P1000021,Walmart
P1000021,Target
P1000021,Ikea
P1000022,Costco
P1000022,Amazon
P1000022,Walmart
P1000022,Target
P1000022,Ikea
P1000023,Costco
P1000023,Amazon
P1000023,Walmart
P1000023,Target
P1000023,Ikea
P1000024,Amazon
P1000024,Walmart
P1000024,Target
P1000024,Ikea
P1000025,Costco
P1000025,Amazon
P1000025,Walmart
P1000025,Target
P1000025,Ikea
P1000026,Costco
P1000026,Amazon
P1000026,Walmart
P1000026,Target
P1000026,Ikea
P1000027,Costco
P1000027,Amazon
P1000027,Walmart
P1000027,Target
P1000027,Ikea
P1000028,Costco
P1000028,Amazon
P1000028,Walmart
P1000028,Target
P1000028,Ikea
P1000029,Costco
P1000029,Amazon
P1000029,Walmart
P1000029,Ikea
P1000030,Costco
P1000030,Amazon
P1000030,Walmart
P1000030,Target
P1000030,Ikea
P1000031,Costco
P1000031,Amazon
P1000031,Target
P1000031,Ikea
P1000032,Costco
P1000032,Walmart
P1000032,Target
P1000032,Ikea
P1000033,Costco
P1000033,Amazon
P1000033,Walmart
P1000033,Target
P1000033,Ikea
P1000034,Costco
P1000034,Amazon
P1000034,Target
P1000034,Ikea
P1000035,Costco
P1000035,Amazon
P1000035,Walmart
P1000035,Target
P1000035,Ikea
P1000036,Costco
P1000036,Amazon
P1000036,Walmart
P1000036,Target
P1000036,Ikea
P1000037,Costco
P1000037,Amazon
P1000037,Walmart
P1000037,Ikea
P1000038,Costco
P1000038,Amazon
P1000038,Walmart
P1000038,Target
P1000038,Ikea
P1000039,Costco
P1000039,Amazon
P1000039,Target
P1000039,Ikea
P1000040,Costco
P1000040,Amazon
P1000040,Walmart
P1000040,Target
P1000040,Ikea
P1000041,Costco
P1000041,Amazon
P1000041,Walmart
P1000041,Target
P1000041,Ikea
P1000042,Amazon
P1000042,Walmart
P1000042,Target
P1000042,Ikea
P1000043,Amazon
P1000043,Walmart
P1000043,Target
P1000043,Ikea
P1000044,Costco
P1000044,Amazon
P1000044,Walmart
P1000044,Target
P1000044,Ikea
P1000045,Costco
P1000045,Amazon
P1000045,Walmart
P1000045,Target
P1000045,Ikea
P1000046,Costco
P1000046,Amazon
P1000046,Walmart
P1000046,Target
P1000046,Ikea
P1000047,Costco
P1000047,Amazon
P1000047,Walmart
P1000047,Target
P1000047,Ikea
P1000048,Costco
P1000048,Amazon
P1000049,Costco
P1000049,Amazon
P1000049,Walmart
P1000049,Target
P1000049,Ikea
P1000050,Costco
P1000050,Amazon
P1000050,Walmart
P1000050,Target
P1000050,Ikea
P1000051,Costco
P1000051,Walmart
P1000051,Target
P1000051,Ikea
P1000052,Costco
P1000052,Amazon
P1000052,Walmart
P1000052,Target
P1000052,Ikea
P1000053,Costco
P1000053,Amazon
P1000053,Walmart
P1000053,Target
P1000053,Ikea
P1000054,Costco
P1000054,Amazon
P1000054,Walmart
P1000054,Target
P1000054,Ikea
P1000055,Costco
P1000055,Amazon
P1000055,Walmart
P1000055,Target
P1000055,Ikea
P1000056,Costco
P1000056,Amazon
P1000056,Walmart
P1000056,Target
P1000056,Ikea
P1000057,Costco
P1000057,Amazon
P1000057,Walmart
P1000057,Target
P1000057,Ikea
P1000058,Costco
P1000058,Amazon
P1000058,Walmart
P1000058,Target
P1000058,Ikea
P1000059,Costco
P1000059,Amazon
P1000059,Walmart
P1000059,Target
P1000060,Costco
P1000060,Amazon
P1000060,Walmart
P1000060,Target
P1000060,Ikea
P1000061,Costco
P1000061,Amazon
P1000061,Walmart
P1000061,Target
P1000061,Ikea
P1000062,Costco
P1000062,Amazon
P1000062,Walmart
P1000062,Target
P1000062,Ikea
P1000063,Costco
P1000063,Amazon
P1000063,Walmart
P1000063,Target
P1000063,Ikea
P1000064,Costco
P1000064,Amazon
P1000064,Walmart
P1000064,Target
P1000064,Ikea
P1000065,Costco
P1000065,Amazon
P1000065,Walmart
P1000065,Target
P1000065,Ikea
P1000066,Costco
P1000066,Amazon
P1000066,Walmart
P1000066,Target
P1000066,Ikea
P1000067,Costco
P1000067,Walmart
P1000067,Target
P1000067,Ikea
P1000068,Costco
P1000068,Amazon
P1000068,Walmart
P1000068,Target
P1000068,Ikea
P1000069,Costco
P1000069,Amazon
P1000069,Walmart
P1000069,Target
P1000069,Ikea
P1000070,Costco
P1000070,Amazon
P1000070,Walmart
P1000070,Target
P1000070,Ikea
P1000071,Costco
P1000071,Amazon
P1000071,Walmart
P1000071,Target
P1000071,Ikea
P1000072,Costco
P1000072,Amazon
P1000072,Walmart
P1000072,Ikea
P1000073,Costco
P1000073,Amazon
P1000073,Walmart
P1000073,Target
P1000073,Ikea
P1000074,Costco
P1000074,Amazon
P1000074,Walmart
P1000074,Target
P1000074,Ikea
P1000075,Costco
P1000075,Walmart
P1000075,Target
P1000075,Ikea
P1000076,Costco
P1000076,Amazon
P1000076,Target
P1000076,Ikea
P1000077,Costco
P1000077,Amazon
P1000077,Walmart
P1000077,Target
P1000077,Ikea
P1000078,Costco
P1000078,Amazon
P1000078,Walmart
P1000078,Target
P1000079,Costco
P1000079,Amazon
P1000079,Walmart
P1000079,Target
P1000079,Ikea
P1000080,Costco
P1000080,Amazon
P1000080,Walmart
P1000080,Target
P1000080,Ikea
P1000081,Costco
P1000081,Amazon
P1000081,Walmart
P1000081,Target
P1000081,Ikea
P1000082,Costco
P1000082,Amazon
P1000082,Walmart
P1000082,Target
P1000082,Ikea
P1000083,Costco
P1000083,Amazon
P1000083,Walmart
P1000083,Ikea
P1000084,Costco
P1000084,Amazon
P1000084,Walmart
P1000084,Target
P1000084,Ikea
P1000085,Costco
P1000085,Amazon
P1000085,Walmart
P1000085,Target
P1000085,Ikea
P1000086,Costco
P1000086,Amazon
P1000086,Walmart
P1000086,Target
P1000086,Ikea
P1000087,Costco
P1000087,Amazon
P1000087,Target
P1000087,Ikea
P1000088,Costco
P1000088,Amazon
P1000088,Target
P1000088,Ikea
P1000089,Costco
P1000089,Amazon
P1000089,Walmart
P1000089,Target
P1000089,Ikea
P1000090,Costco
P1000090,Amazon
P1000090,Walmart
P1000090,Target
P1000090,Ikea
P1000091,Costco
P1000091,Amazon
P1000091,Walmart
P1000091,Target
P1000092,Costco
P1000092,Amazon
P1000092,Walmart
P1000092,Target
P1000092,Ikea
P1000093,Amazon
P1000093,Walmart
P1000093,Ikea
P1000094,Costco
P1000094,Amazon
P1000094,Walmart
P1000094,Target
P1000094,Ikea
P1000095,Costco
P1000095,Amazon
P1000095,Walmart
P1000095,Target
P1000095,Ikea
P1000096,Costco
P1000096,Amazon
P1000096,Walmart
P1000096,Target
P1000096,Ikea
P1000097,Costco
P1000097,Amazon
P1000097,Walmart
P1000097,Target
P1000097,Ikea
P1000098,Costco
P1000098,Amazon
P1000098,Walmart
P1000098,Ikea
P1000099,Costco
P1000099,Amazon
P1000099,Walmart
P1000099,Target
P1000099,Ikea
P1000100,Costco
P1000100,Amazon
P1000100,Walmart
P1000100,Target
P1000100,Ikea
P1000101,Costco
P1000101,Amazon
P1000101,Walmart
P1000101,Target
P1000101,Ikea
P1000102,Costco
P1000102,Amazon
P1000102,Walmart
P1000102,Target
P1000102,Ikea
P1000103,Costco
P1000103,Amazon
P1000103,Walmart
P1000103,Target
P1000103,Ikea
P1000104,Costco
P1000104,Amazon
P1000104,Walmart
P1000104,Target
P1000104,Ikea
P1000105,Costco
P1000105,Amazon
P1000105,Walmart
P1000105,Target
P1000105,Ikea
P1000106,Costco
P1000106,Amazon
P1000106,Walmart
P1000106,Target
P1000106,Ikea
P1000107,Costco
P1000107,Ikea
P1000108,Costco
P1000108,Amazon
P1000108,Walmart
P1000108,Target
P1000108,Ikea
P1000109,Costco
P1000109,Amazon
P1000109,Target
P1000109,Ikea
P1000110,Costco
P1000110,Walmart
P1000110,Target
P1000111,Amazon
P1000111,Walmart
P1000111,Target
P1000111,Ikea
P1000112,Amazon
P1000112,Walmart
P1000112,Target
P1000112,Ikea
P1000113,Costco
P1000113,Amazon
P1000113,Walmart
P1000113,Target
P1000113,Ikea
P1000114,Costco
P1000114,Amazon
P1000114,Target
P1000114,Ikea
P1000115,Costco
P1000115,Amazon
P1000115,Walmart
P1000115,Target
P1000115,Ikea
P1000116,Costco
P1000116,Amazon
P1000116,Walmart
P1000116,Target
P1000116,Ikea
P1000117,Costco
P1000117,Amazon
P1000117,Walmart
P1000117,Target
P1000117,Ikea
P1000118,Costco
P1000118,Amazon
P1000118,Walmart
P1000118,Target
P1000118,Ikea