product_id,product_name,base_price,quantity_available,category_id,distributor_id
P1000001,3M Hangers With Command Adhesive,2.96,120,FUR,2155236
P1000002,Eldon 100 Class Desk Accessories,4.04,60,FUR,2052188
P1000003,Regeneration Desk Collection,5.28,120,FUR,5285412
P1000004,Longer-Life Soft White Bulbs,6.16,60,FUR,9952745
P1000005,"6"" Cubicle Wall Clock, Black",9.71,90,FUR,6187541
P1000006,Staple-based wall hangings,11.69,90,FUR,2252321
P1000007,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,90,TEC,6002152
P1000008,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.14,120,FUR,452125
P1000009,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.23,120,FUR,8885421
P1000010,Telescoping Adjustable Floor Lamp,15.99,60,FUR,1455601
P1000011,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,120,FUR,2155236
P1000012,Newell 318,19.46,120,OFF,2052188
P1000013,Logitech†LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,150,TEC,5285412
P1000014,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,120,TEC,9952745
P1000015,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,60,FUR,6187541
P1000016,Speck Products Candyshell Flip Case,27.99,60,TEC,2252321
P1000017,"Eldon 200 Class Desk Accessories, Burgundy",35.17,150,FUR,6002152
P1000018,Magnifier Swing Arm Lamp,41.96,120,FUR,452125
P1000019,Imation†8gb Micro Traveldrive Usb 2.0†Flash Drive,45,60,TEC,8885421
P1000020,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,90,TEC,1455601
P1000021,Artistic Insta-Plaque,47.04,60,FUR,2155236
P1000022,Eldon Wave Desk Accessories,47.12,120,FUR,2052188
P1000023,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,90,FUR,5285412
P1000024,"Seth Thomas 13 1/2"" Wall Clock",53.34,120,FUR,9952745
P1000025,Lenovo 17-Key USB Numeric Keypad,54.38,90,TEC,6187541
P1000026,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,60,TEC,2252321
P1000027,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,180,OFF,6002152
P1000028,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,150,TEC,452125
P1000029,"Global Deluxe Stacking Chair, Gray",71.37,60,FUR,8885421
P1000030,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.7,180,FUR,1455601
P1000031,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,90,TEC,2155236
P1000032,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,90,FUR,2052188
P1000033,Luxo Economy Swing Arm Lamp,79.76,150,FUR,5285412
P1000034,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,60,FUR,9952745
P1000035,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",87.54,180,FUR,6187541
P1000036,"Global Leather Task Chair, Black",89.99,90,FUR,2252321
P1000037,Imation†8GB Mini TravelDrive USB 2.0†Flash Drive,90.57,90,TEC,6002152
P1000038,"Seth Thomas 14"" Putty-Colored Wall Clock",93.89,90,FUR,452125
P1000039,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,120,TEC,8885421
P1000040,9-3/4 Diameter Round Wall Clock,96.53,180,FUR,1455601
P1000041,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,120,FUR,2155236
P1000042,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,90,FUR,2052188
P1000043,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,180,FUR,5285412
P1000044,DMI Arturo Collection Mission-style Design Wood Chair,135.88,150,FUR,9952745
P1000045,JBL Micro Wireless Portable Bluetooth Speaker,143.98,180,TEC,6187541
P1000046,Panasonic Kx-TS550,147.17,90,TEC,2252321
P1000047,Anker Astro 15000mAh USB Portable Charger,149.97,60,TEC,6002152
P1000048,Global Low Back Tilter Chair,161.57,90,FUR,452125
P1000049,netTALK DUO VoIP Telephone Service,167.97,150,TEC,8885421
P1000050,KI Conference Tables,177.23,180,FUR,1455601
P1000051,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,180,FUR,2155236
P1000052,Jabra BIZ 2300 Duo QD Duo Corded†Headset,203.18,120,TEC,2052188
P1000053,"Global Fabric Manager's Chair, Dark Gray",212.06,90,FUR,5285412
P1000054,"Global Value Mid-Back Manager's Chair, Gray",213.12,180,FUR,9952745
P1000055,Cisco SPA 501G IP Phone,213.48,90,TEC,6187541
P1000056,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.35,60,FUR,2252321
P1000057,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,120,FUR,6002152
P1000058,BPI Conference Tables,219.08,150,FUR,452125
P1000059,Global Deluxe Office Fabric Chairs,230.35,180,FUR,8885421
P1000060,Bush Advantage Collection Round Conference Table,233.86,90,FUR,1455601
P1000061,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,90,FUR,2155236
P1000062,Logitech K350 2.4Ghz Wireless Keyboard,238.9,120,TEC,2052188
P1000063,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.07,90,FUR,5285412
P1000064,Bush Somerset Collection Bookcase,261.96,120,FUR,9952745
P1000065,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.42,60,FUR,6187541
P1000066,Novimex Swivel Fabric Task Chair,301.96,120,FUR,2252321
P1000067,Novimex Turbo Task Chair,319.41,90,FUR,6002152
P1000068,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,90,FUR,452125
P1000069,Logitech†Gaming G510s - Keyboard,339.96,120,TEC,8885421
P1000070,"Global Value Steno Chair, Gray",340.14,120,FUR,1455601
P1000071,Plantronics HL10 Handset Lifter,371.17,120,TEC,2155236
P1000072,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.46,150,FUR,2052188
P1000073,Plantronics Cordless†Phone Headset†with In-line Volume - M214C,384.45,90,TEC,5285412
P1000074,Sauder Barrister Bookcases,388.7,150,FUR,9952745
P1000075,"Global Push Button Manager's Chair, Indigo",389.7,60,FUR,6187541
P1000076,"Padded Folding Chairs, Black, 4/Carton",396.8,90,FUR,2252321
P1000077,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,150,FUR,6002152
P1000078,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,60,FUR,452125
P1000079,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.77,120,FUR,8885421
P1000080,Global Ergonomic Managers Chair,488.65,90,FUR,1455601
P1000081,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,120,FUR,2155236
P1000082,Global Deluxe High-Back Manager's Chair,600.56,90,FUR,2052188
P1000083,Bevis 44 x 96 Conference Tables,617.7,120,FUR,5285412
P1000084,Bretford Rectangular Conference Table Tops,620.61,120,FUR,9952745
P1000085,Bevis 36 x 72 Conference Tables,622.45,180,FUR,6187541
P1000086,Mitel 5320 IP Phone VoIP phone,907.15,120,TEC,2252321
P1000087,Konftel 250 Conference†phone†- Charcoal black,911.42,150,TEC,6002152
P1000088,Avaya 5420 Digital phone,944.93,60,TEC,452125
P1000089,Bretford CR4500 Series Slim Rectangular Table,957.58,120,FUR,8885421
P1000090,"Bevis Round Conference Table Top, X-Base",1004.02,120,FUR,1455601
P1000091,AT&T CL83451 4-Handset Telephone,1029.95,120,TEC,2155236
P1000092,"Bevis Round Bullnose 29"" High Table Top",800,90,FUR,2052188
P1000093,GE 30524EE4,1097.54,60,TEC,5285412
P1000094,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.83,150,FUR,9952745
P1000095,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.42,90,FUR,6187541
P1000096,Chromcraft Rectangular Conference Tables,1706.18,120,FUR,2252321
P1000097,SAFCO Arco Folding Chair,1740.06,120,FUR,6002152
P1000098,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1600.43,150,FUR,452125
P1000099,Lexmark MX611dhe Monochrome Laser Printer,1780.95,120,TEC,8885421
P1000100,Staple-based wall hangings,25.47,60,FUR,1455601
P1000101,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,90,OFF,2155236
P1000102,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,60,OFF,2052188
P1000103,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,90,OFF,5285412
P1000104,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,90,OFF,9952745
P1000105,Avery 485,75.18,120,OFF,6187541
P1000106,Advantus Push Pins,15.26,90,OFF,2252321
P1000107,Home/Office Personal File Carts,208.56,120,OFF,6002152
P1000108,"Array Parchment Paper, Assorted Colors",14.56,90,OFF,452125
P1000109,Plastic Binding Combs,48.48,120,OFF,8885421
P1000110,Prang Dustless Chalk Sticks,1.68,120,OFF,1455601
P1000111,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,90,OFF,2155236
P1000112,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.02,150,OFF,2052188
P1000113,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,120,OFF,5285412
P1000114,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,180,OFF,9952745
P1000115,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,90,OFF,6187541
P1000116,Safco Industrial Wire Shelving System,72.78,60,OFF,2252321
P1000117,Economy Binders,1.25,60,OFF,6002152
P1000118,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,90,OFF,452125